CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,CITY,STATE,COUNTRY,SIGNUP_DATE,IS_ACTIVE,CUSTOMER_TIER,ANNUAL_REVENUE,CREATED_AT
1001,Anand,Verma,anand.verma1@email.com,9828728463,Mysuru,Karnataka,India,2020-02-24,TRUE,GOLD,192138.89,2020-02-24
1002,Piyush,Patel,,9877827638,Visakhapatnam,Andhra Pradesh,India,2019-04-19,TRUE,GOLD,1408623.45,2019-04-19
1003,Manya,Pillai,manya.pillai3@email.com,9810872248,Mangaluru,Karnataka,India,2020-10-15,TRUE,BRONZE,50866.45,2020-10-15
1004,Kriti,Iyer,kriti.iyer4@email.com,9856164955,Visakhapatnam,Andhra Pradesh,India,2021-12-19,TRUE,GOLD,1081731.62,2021-12-19
1005,Dhruv,Singh,dhruv.singh5@email.com,9893016315,Raipur,Chhattisgarh,India,2023-01-21,TRUE,GOLD,110732.28,2023-01-21
1006,Anjali,Arora,anjali.arora6@email.com,9841244663,Ranchi,Jharkhand,India,2020-02-18,TRUE,SILVER,668947.24,2020-02-18
1007,Aditya,Chauhan,aditya.chauhan7@email.com,9896977837,Bengaluru,Karnataka,India,2020-12-01,TRUE,BRONZE,141366.76,2020-12-01
1008,Rohan,Roy,rohan.roy8@email.com,9853524491,Dehradun,Uttarakhand,India,2019-08-18,TRUE,BRONZE,98058.65,2019-08-18
1009,Rohan,Nair,rohan.nair9@email.com,9852235350,Kolkata,West Bengal,India,2024-08-06,TRUE,PLATINUM,2321316.67,2024-08-06
1010,Ritika,Gupta,ritika.gupta10@email.com,9845264581,Mysuru,Karnataka,India,2023-10-21,TRUE,SILVER,183263.4,2023-10-21
1011,Rohini,Deshpande,rohini.deshpande11@email.com,9824716857,Chennai,Tamil Nadu,India,2020-10-17,TRUE,SILVER,60186.89,2020-10-17
1012,Dhruv,Hegde,dhruv.hegde12@email.com,9884252722,Ranchi,Jharkhand,India,2019-02-17,TRUE,BRONZE,266012.59,2019-02-17
1013,Rohan,Arora,rohan.arora13@email.com,9868353204,Pune,Maharashtra,India,2024-02-02,FALSE,GOLD,1444967.72,2024-02-02
1014,Mohit,Sethi,mohit.sethi14@email.com,9893926371,Bhopal,Madhya Pradesh,India,2024-09-10,TRUE,BRONZE,229940.69,2024-09-10
1015,Sweta,Arora,sweta.arora15@email.com,9890388981,Lucknow,Uttar Pradesh,India,2024-06-24,FALSE,PLATINUM,4399673.3,2024-06-24
1016,Megha,Bhat,megha.bhat16@email.com,9820570592,Bengaluru,Karnataka,India,2024-06-13,TRUE,PLATINUM,2686895.54,2024-06-13
1017,Deepak,Gupta,deepak.gupta17@email.com,9832162965,Jaipur,Rajasthan,India,2024-12-01,TRUE,SILVER,177320.58,2024-12-01
1018,Sweta,Sethi,sweta.sethi18@email.com,9851837852,Nagpur,Maharashtra,India,2023-03-10,TRUE,SILVER,105593.31,2023-03-10
1019,Varun,Nair,varun.nair19@email.com,9840885476,Gurgaon,Haryana,India,2021-06-21,FALSE,GOLD,136570.06,2021-06-21
1020,Neha,Patel,neha.patel20@email.com,9841944441,Jaipur,Rajasthan,India,2024-06-11,TRUE,BRONZE,280976.7,2024-06-11
1021,Fatima,Naik,fatima.naik21@email.com,9864634663,Kolkata,West Bengal,India,2020-01-22,FALSE,SILVER,344627.11,2020-01-22
1022,Ankita,Khanna,ankita.khanna22@email.com,9896728778,Hyderabad,Telangana,India,2019-09-06,TRUE,BRONZE,259193.4,2019-09-06
1023,Swati,Mehta,swati.mehta23@email.com,9866623995,Pune,Maharashtra,India,2022-02-14,TRUE,GOLD,169262.08,2022-02-14
1024,Naveen,Iyer,naveen.iyer24@email.com,9811980765,Bengaluru,Karnataka,India,2021-08-26,TRUE,SILVER,178860.37,2021-08-26
1025,Jyoti,Reddy,jyoti.reddy25@email.com,,Nagpur,Maharashtra,India,2021-12-22,TRUE,GOLD,584793.47,2021-12-22
1026,Disha,Ghosh,disha.ghosh26@email.com,9849823450,Kolkata,West Bengal,India,2019-08-28,TRUE,SILVER,600900.69,2019-08-28
1027,Suresh,Reddy,suresh.reddy27@email.com,9881286543,Pune,Maharashtra,India,2019-08-21,TRUE,BRONZE,59818.36,2019-08-21
1028,Saurabh,Nair,saurabh.nair28@email.com,9826090908,Raipur,Chhattisgarh,India,2021-10-05,TRUE,BRONZE,29185.1,2021-10-05
1029,Vishal,Naik,vishal.naik29@email.com,9837415205,Patna,Bihar,India,2022-07-10,TRUE,SILVER,540635.28,2022-07-10
1030,Pranav,Dubey,pranav.dubey30@email.com,9819736572,Mumbai,Maharashtra,India,2024-02-21,TRUE,SILVER,88985.19,2024-02-21
1031,Shubham,Das,shubham.das31@email.com,9856843172,Raipur,Chhattisgarh,India,2019-10-09,TRUE,SILVER,134620.0,2019-10-09
1032,Sweta,Goyal,sweta.goyal32@email.com,9897775215,Chandigarh,Punjab,India,2019-02-02,TRUE,SILVER,746087.27,2019-02-02
1033,Preeti,Gupta,preeti.gupta33@email.com,9884252420,Chennai,Tamil Nadu,India,2022-01-20,TRUE,BRONZE,106149.68,2022-01-20
1034,Ritika,Deshpande,ritika.deshpande34@email.com,9816818112,Bengaluru,Karnataka,India,2023-10-01,TRUE,BRONZE,103399.18,2023-10-01
1035,Deepak,Roy,deepak.roy35@email.com,9869302158,Noida,Uttar Pradesh,India,2023-10-18,TRUE,BRONZE,283790.03,2023-10-18
1036,Lakshmi,Kamath,lakshmi.kamath36@email.com,9884158663,Chennai,Tamil Nadu,India,2023-10-27,TRUE,BRONZE,270199.54,2023-10-27
1037,Arjun,Saxena,arjun.saxena37@email.com,9823796726,Indore,Madhya Pradesh,India,2023-07-23,TRUE,GOLD,1853012.37,2023-07-23
1038,Harsh,Joshi,harsh.joshi38@email.com,9865337219,Mumbai,Maharashtra,India,2021-01-04,TRUE,BRONZE,279590.69,2021-01-04
1039,Swati,Malhotra,swati.malhotra39@email.com,9861343880,Ranchi,Jharkhand,India,2019-06-08,TRUE,BRONZE,245893.05,2019-06-08
1040,Raj,Saxena,raj.saxena40@email.com,9840547349,Ahmedabad,Gujarat,India,2019-04-07,TRUE,SILVER,230096.42,2019-04-07
1041,Neha,Arora,neha.arora41@email.com,9863643924,Patna,Bihar,India,2022-09-18,TRUE,BRONZE,291268.18,2022-09-18
1042,Ravi,Bhatt,ravi.bhatt42@email.com,9824549543,Visakhapatnam,Andhra Pradesh,India,2023-11-15,TRUE,GOLD,884059.89,2023-11-15
1043,Reema,Kumar,reema.kumar43@email.com,9844188276,Delhi,Delhi,India,2023-11-22,FALSE,PLATINUM,2715337.39,2023-11-22
1044,Shreya,Chauhan,shreya.chauhan44@email.com,9854318698,Visakhapatnam,Andhra Pradesh,India,2022-07-09,TRUE,BRONZE,270513.82,2022-07-09
1045,Mohit,Kapoor,mohit.kapoor45@email.com,9849682169,Noida,Uttar Pradesh,India,2020-06-05,TRUE,GOLD,770707.65,2020-06-05
1046,Ravi,Shetty,ravi.shetty46@email.com,9810054484,Bhopal,Madhya Pradesh,India,2022-03-21,TRUE,GOLD,1221189.91,2022-03-21
1047,Sakshi,Dubey,sakshi.dubey47@email.com,9878608612,Kochi,Kerala,India,2020-11-26,TRUE,BRONZE,200836.88,2020-11-26
1048,Meenakshi,Banerjee,meenakshi.banerjee48@email.com,9841523529,Patna,Bihar,India,2022-06-25,TRUE,BRONZE,12205.49,2022-06-25
1049,Swati,Chandra,swati.chandra49@email.com,9871124923,Surat,Gujarat,India,2021-03-07,TRUE,SILVER,325725.76,2021-03-07
1050,Sanjay,Sen,sanjay.sen50@email.com,9824305904,Mangaluru,Karnataka,India,2023-10-08,TRUE,GOLD,1397905.32,2023-10-08
1051,Ankita,Reddy,ankita.reddy51@email.com,9826288475,Coimbatore,Tamil Nadu,India,2020-06-30,TRUE,GOLD,1976027.06,2020-06-30
1052,Saurabh,Mukherjee,saurabh.mukherjee52@email.com,9892228802,Dehradun,Uttarakhand,India,2024-08-29,TRUE,PLATINUM,2257272.38,2024-08-29
1053,Aditya,Bajaj,aditya.bajaj53@email.com,9843183955,Dehradun,Uttarakhand,India,2022-02-09,TRUE,SILVER,505131.27,2022-02-09
1054,Tanvi,Tiwari,tanvi.tiwari54@email.com,9846468984,Lucknow,Uttar Pradesh,India,2022-08-02,TRUE,BRONZE,49495.04,2022-08-02
1055,Simran,Jain,simran.jain55@email.com,9865682626,Surat,Gujarat,India,2022-09-17,TRUE,SILVER,173399.17,2022-09-17
1056,Manya,Agarwal,manya.agarwal56@email.com,9812621534,Ranchi,Jharkhand,India,2023-04-08,TRUE,PLATINUM,1528132.63,2023-04-08
1057,Simran,Mishra,simran.mishra57@email.com,9890967191,Raipur,Chhattisgarh,India,2021-06-22,TRUE,BRONZE,148264.39,2021-06-22
1058,Simran,Banerjee,simran.banerjee58@email.com,9832151928,Dehradun,Uttarakhand,India,2024-03-29,TRUE,PLATINUM,2693911.97,2024-03-29
1059,Tarun,Bhatt,tarun.bhatt59@email.com,9896268397,Surat,Gujarat,India,2020-07-09,TRUE,BRONZE,81746.11,2020-07-09
1060,Sakshi,Das,sakshi.das60@email.com,9860885459,Jaipur,Rajasthan,India,2023-09-23,TRUE,BRONZE,10718.07,2023-09-23
1061,Sweta,Reddy,sweta.reddy61@email.com,9897260863,Bengaluru,Karnataka,India,2019-06-14,TRUE,PLATINUM,1036835.38,2019-06-14
1062,Ananya,Shetty,ananya.shetty62@email.com,9899853245,Hyderabad,Telangana,India,2021-06-11,TRUE,BRONZE,113824.08,2021-06-11
1063,Geeta,Hegde,geeta.hegde63@email.com,9831980274,Bhopal,Madhya Pradesh,India,2020-03-18,TRUE,PLATINUM,2900193.81,2020-03-18
1064,Dhruv,Srivastava,dhruv.srivastava64@email.com,9889470029,Vadodara,Gujarat,India,2021-09-21,FALSE,GOLD,1703580.61,2021-09-21
1065,Saurabh,Kumar,saurabh.kumar65@email.com,9815512205,Indore,Madhya Pradesh,India,2024-12-22,TRUE,SILVER,409709.02,2024-12-22
1066,Kriti,Sharma,kriti.sharma66@email.com,9824165187,Surat,Gujarat,India,2023-01-23,TRUE,GOLD,1420471.11,2023-01-23
1067,Komal,Rao,komal.rao67@email.com,9846249845,Visakhapatnam,Andhra Pradesh,India,2024-06-03,TRUE,GOLD,1193099.75,2024-06-03
1068,Sakshi,Bhat,sakshi.bhat68@email.com,9870505620,Ahmedabad,Gujarat,India,2024-03-18,TRUE,GOLD,686065.31,2024-03-18
1069,Aarti,Mukherjee,aarti.mukherjee69@email.com,9844675473,Lucknow,Uttar Pradesh,India,2022-02-19,TRUE,GOLD,567011.78,2022-02-19
1070,Rahul,Kulkarni,rahul.kulkarni70@email.com,9864549859,Kochi,Kerala,India,2021-09-11,TRUE,SILVER,397748.85,2021-09-11
1071,Ananya,Singh,ananya.singh71@email.com,9842655866,Bhopal,Madhya Pradesh,India,2023-02-20,TRUE,SILVER,346148.01,2023-02-20
1072,Naveen,Banerjee,naveen.banerjee72@email.com,9851154241,Jaipur,Rajasthan,India,2021-08-02,TRUE,BRONZE,40268.65,2021-08-02
1073,Shubham,Sethi,shubham.sethi73@email.com,9874988034,Jaipur,Rajasthan,India,2024-11-18,TRUE,PLATINUM,4171510.4,2024-11-18
1074,Isha,Pillai,isha.pillai74@email.com,9881690398,Chennai,Tamil Nadu,India,2022-01-28,FALSE,BRONZE,91180.31,2022-01-28
1075,Deepak,Roy,deepak.roy75@email.com,9811646234,Gurgaon,Haryana,India,2022-03-10,TRUE,SILVER,155647.3,2022-03-10
1076,Divya,Venkat,divya.venkat76@email.com,9818770247,Nagpur,Maharashtra,India,2024-07-07,FALSE,SILVER,52351.17,2024-07-07
