EMP_ID,FIRST_NAME,LAST_NAME,DEPARTMENT,JOB_TITLE,SALARY,HIRE_DATE,MANAGER_ID,OFFICE_CITY,PERFORMANCE_RATING,IS_ACTIVE
2001,Sonal,Joshi,Sales,Business Development Rep,79697.89,2015-06-24,,Ahmedabad,EXCEPTIONAL,FALSE
2002,Tanu,Pillai,Sales,Sales Director,221913.85,2019-04-24,,Chennai,POOR,TRUE
2003,Yash,Arora,IT,System Admin,136501.4,2021-12-02,,Nagpur,GOOD,TRUE
2004,Varun,Iyer,Legal,Contract Specialist,121734.94,2024-11-17,,Dehradun,EXCEPTIONAL,TRUE
2005,Mohit,Naik,Marketing,Digital Marketing Exec,44582.6,2024-02-24,,Lucknow,GOOD,TRUE
2006,Anand,Rao,Product,Scrum Master,65069.36,2022-10-25,,Patna,GOOD,TRUE
2007,Preeti,Srivastava,Product,Product Owner,57979.5,2021-11-22,,Bhopal,AVERAGE,TRUE
2008,Suresh,Kulkarni,Engineering,Architect,108079.59,2025-01-17,,Kochi,GOOD,TRUE
2009,Bhavna,Kumar,Legal,Contract Specialist,105431.86,2020-03-13,,Noida,GOOD,TRUE
2010,Neha,Rao,HR,HR Director,235799.2,2020-04-22,,Bengaluru,GOOD,TRUE
2011,Sonal,Kamath,Operations,Warehouse Manager,115326.46,2023-07-16,,Lucknow,AVERAGE,TRUE
2012,Dhruv,Patel,Sales,Sales Manager,191753.52,2024-09-22,,Ahmedabad,GOOD,TRUE
2013,Saurabh,Sen,Marketing,Marketing Manager,116110.99,2024-11-20,,Bengaluru,GOOD,FALSE
2014,Simran,Agarwal,Finance,Accounts Executive,76570.09,2017-12-19,,Indore,AVERAGE,TRUE
2015,Sneha,Goyal,Marketing,Digital Marketing Exec,141112.31,2021-08-24,2013,Raipur,GOOD,TRUE
2016,Komal,Saxena,Product,Product Owner,67334.81,2024-12-27,,Vadodara,GOOD,TRUE
2017,Meera,Sharma,Product,Scrum Master,84830.93,2024-09-09,,Chennai,GOOD,TRUE
2018,Isha,Nair,Finance,Accounts Executive,50927.66,2017-12-18,,Chandigarh,GOOD,TRUE
2019,Preeti,Verma,IT,Cloud Engineer,68425.57,2019-04-03,,Lucknow,AVERAGE,TRUE
2020,Sweta,Arora,IT,Network Engineer,95170.88,2024-03-15,,Vadodara,GOOD,TRUE
2021,Reema,Shetty,Finance,Financial Planner,56145.21,2015-10-30,,Delhi,GOOD,TRUE
2022,Simran,Verma,Engineering,Tech Lead,162140.75,2021-11-06,,Bhopal,GOOD,TRUE
2023,Gaurav,Sen,IT,Cloud Engineer,48760.01,2017-05-29,,Coimbatore,EXCEPTIONAL,FALSE
2024,Vikas,Khanna,Operations,Warehouse Manager,88906.45,2025-06-21,,Goa,GOOD,TRUE
2025,Manya,Saxena,Analytics,Data Analyst,143203.14,2018-04-12,,Coimbatore,EXCEPTIONAL,TRUE
