ORDER_ID,CUSTOMER_NAME,PRODUCT_NAME,PRODUCT_CATEGORY,ORDER_CITY,ORDER_STATE,ORDER_COUNTRY,SALES_CHANNEL,PAYMENT_METHOD,FEEDBACK,SALE_AMOUNT,DISCOUNT,ORDER_DATE,SHIPPING_DATE
ORD-1001,Pranav Kamath,Nike Air Max,Fashion  ,Springfield,UT,USA,Wholesale,Debit Card,***Outstanding***,1292.41,14.1,2025-08-09,2025-08-10
ORD-1002,Aditya Kumar,Titan Raga,Fashion,Chicago,IL,USA,Online,UPI,Dissatisfied,585.04,17.57,2024-05-17,2024-05-18
ORD-1003,Saurabh Sethi,The Lean Startup,Books,Richmond,MI,USA,Retail,Net Banking,**Good**,1143.89,14.55,2025-01-13,2025-01-16
ORD-1004,   Preeti Dubey,Himalaya Face Wash,Health & Personal Care,Springfield,OK,USA,Marketplace,Credit Card,Neutral,139.07,8.35,2024-04-19,2024-04-21
ORD-1005,   Ankita Kapoor,Allen Solly Shirt,Fashion,Richmond,NJ,USA,Wholesale,COD,Dissatisfied,1655.29,7.53,2024-07-14,2024-07-20
ORD-1006,Gaurav Mehta  ,Logitech MX Master 3,Electronics,Portland,NE,USA,Marketplace,UPI,##Excellent##,1251.98,18.64,2024-07-19,2024-07-21
ORD-1007,Anand Jain,The Lean Startup,Books,Portland,OK,USA,Wholesale,COD,--Average--,880.04,4.92,2024-05-26,2024-05-28
ORD-1008,Sunita Chatterjee,Instant Pot,Home & Kitchen,Colorado Springs,CO,USA,Marketplace,UPI,Satisfied,435.46,18.24,2024-06-29,2024-07-05
ORD-1009,Geeta Mishra,iPhone 13,Electronics,Portland,NM,USA,Online,Credit Card,##Excellent##,2447.94,15.43,2025-11-24,2025-11-30
ORD-1010,   Piyush Malhotra,LOreal Shampoo,Health & Personal Care,Portland,UT,USA,Wholesale,Debit Card,***Outstanding***,1803.8,17.0,2026-01-05,2026-01-06
ORD-1011,Sunita Shetty,Whey Protein,Sports & Fitness,Memphis,KS,USA,Marketplace,Wallet,--Average--,1394.78,19.11,2024-01-06,2024-01-13
ORD-1012,   Manya Ghosh,LOreal Shampoo,Health & Personal Care  ,Memphis,MO,USA,Wholesale,Wallet,**Good**,1548.31,18.69,2025-09-14,2025-09-17
ORD-1013,Fatima Agarwal,Instant Pot,Home & Kitchen,Richmond,WI,USA,Wholesale,COD,**Good**,628.4,3.28,2026-04-28,2026-05-01
ORD-1014,Vishal Sen,Pigeon Mixer,Home & Kitchen,Pittsburgh,PA,USA,Retail,Wallet,****Very Satisfied****,728.09,8.97,2024-07-31,2024-08-03
ORD-1015,Preeti Chandra,Titan Raga,Fashion,Spokane,WA,USA,Retail,Debit Card,--Average--,1236.95,16.59,2025-09-25,2025-09-28
ORD-1016,Raj Saxena,Samsung Galaxy S21,Electronics,Springfield,NC,USA,Online,Wallet,--Average--,1186.1,8.57,2024-09-22,2024-09-25
ORD-1017,Mohit Chopra,Himalaya Face Wash,Health & Personal Care,Portland,AZ,USA,Wholesale,Wallet,**Good**,74.01,19.68,2026-02-13,2026-02-16
ORD-1018,   Anand Pillai,Ray-Ban Aviator,Fashion,Memphis,HI,USA,Retail,COD,Neutral,2424.8,13.19,2025-06-10,2025-06-11
ORD-1019,Tanvi Menon,Apple Watch,Electronics,Portland,OR,USA,Retail,COD,***Outstanding***,196.89,19.81,2024-06-25,2024-07-02
ORD-1020,Sanjay Chatterjee,Instant Pot,Home & Kitchen  ,Portland,NC,USA,Retail,COD,***Outstanding***,1635.08,17.29,2026-02-25,2026-03-01
ORD-1021,   Varun Roy,Dettol Sanitizer,Health & Personal Care,Richmond,NJ,USA,Retail,Wallet,**Good**,2387.79,15.11,2025-08-04,2025-08-08
ORD-1022,Komal Menon,MacBook Pro,Electronics,Richmond,NJ,USA,Retail,Net Banking,Satisfied,1932.94,10.09,2026-04-27,2026-05-01
ORD-1023,Ravi Dubey,MacBook Pro,Electronics,Albany,NY,USA,Retail,Wallet,Very Satisfied,1536.61,16.56,2026-06-22,2026-06-23
ORD-1024,   Abhishek Yadav,JBL Speaker,Electronics,Memphis,MA,USA,Marketplace,Wallet,Neutral,1696.9,16.87,2026-05-15,2026-05-22
ORD-1025,Pranav Goyal,Canon Camera,Electronics,Springfield,HI,USA,Retail,Debit Card,Dissatisfied,2274.61,1.21,2026-01-01,2026-01-03
ORD-1026,Tarun Patel,HP Laptop,Electronics,Springfield,MS,USA,Wholesale,Credit Card,Satisfied,1652.08,2.4,2024-05-01,2024-05-06
ORD-1027,Komal Kamath,Zara Jacket,Fashion,Memphis,HI,USA,Marketplace,Wallet,****Very Satisfied****,2477.53,0.44,2025-01-02,2025-01-04
ORD-1028,Rohini Menon,Cricket Bat,Sports & Fitness,Richmond,CT,USA,Online,Net Banking,Satisfied,2438.86,0.71,2025-10-11,2025-10-15
ORD-1029,Nikhil Reddy,Sapiens,Books,Colorado Springs,CO,USA,Online,Credit Card,***Outstanding***,531.11,17.18,2026-06-24,2026-06-28
ORD-1030,   Nikhil Jain,Godrej Fridge,Home & Kitchen,Memphis,MO,USA,Online,Debit Card,Satisfied,1770.95,2.64,2026-05-30,2026-06-02
ORD-1031,Swati Banerjee,Havells Fan,Home & Kitchen,Naperville,IL,USA,Retail,COD,***Outstanding***,848.81,8.0,2025-09-19,2025-09-20
ORD-1032,Pallavi Reddy,Prestige Cooker,Home & Kitchen,Chicago,IL,USA,Wholesale,Net Banking,***Outstanding***,1963.26,18.08,2025-11-18,2025-11-24
ORD-1033,Isha Joshi,Havells Fan,Home & Kitchen,Portland,AZ,USA,Online,UPI,***Outstanding***,212.93,12.76,2025-06-18,2025-06-25
ORD-1034,Pranav Venkat,Whey Protein,Sports & Fitness,Richmond,TN,USA,Retail,Debit Card,--Average--,1783.26,4.5,2025-10-24,2025-10-25
ORD-1035,Aarti Saxena,Titan Raga,Fashion,Memphis,OK,USA,Online,Credit Card,**Good**,360.62,16.72,2024-08-08,2024-08-12
ORD-1036,Ankita Iyer,Fastrack Watch,Fashion,Memphis,NE,USA,Retail,COD,**Good**,629.32,10.53,2024-12-13,2024-12-17
ORD-1037,Tushar Chauhan,Bose Headphones,Electronics,Albany,NY,USA,Retail,Net Banking,--Average--,2008.88,0.54,2026-05-08,2026-05-09
ORD-1038,Priya Bhatt,JBL Speaker,Electronics,Portland,NC,USA,Marketplace,Credit Card,Satisfied,2195.83,4.79,2024-06-15,2024-06-18
ORD-1039,Manish Hegde,Fastrack Watch,Fashion,Richmond,AZ,USA,Online,COD,Satisfied,1997.98,13.42,2024-06-04,2024-06-06
ORD-1040,Swati Ghosh,Himalaya Face Wash,Health & Personal Care,Springfield,IL,USA,Online,UPI,##Excellent##,1489.97,19.05,2026-04-01,2026-04-03
